指标,R0基准,R4优化,改善量,改善率/%,优选方向
年可变运行成本,51.24203128082029,25.654824223497123,25.58720705732317,49.934021774231205,lower
年私人成本总额,214.7590583422481,189.17185128492488,25.587207057323212,11.914378492266659,lower
年社会综合成本,222.6652239470463,192.68732598635123,29.97789796069506,13.463215058595917,lower
年碳排放,22524.688332758407,10015.597439960951,12509.090892797456,55.53502320653675,lower
主网最大购电功率,24.623038312380714,3.223082506074099,21.399955806306615,86.9102973191838,lower
主网峰谷差,29.623038312380714,8.2230825060741,21.399955806306615,72.24092134182831,lower
主网功率标准差,6.506099302426791,2.7017623195605966,3.8043369828661944,58.47339252026429,lower
年弃风弃光量,41080.64433719613,18924.573230984563,22156.071106211566,53.933114885811406,lower
弃风弃光率,7.767517936628883,3.57825356409082,4.189264372538062,53.9331148858114,lower
新能源本地吸纳率,87.69366308516497,92.53671074545197,4.843047660286999,5.522688287731353,higher
新能源外送率,4.538818978206129,3.8850356904572085,0.65378328774892,14.404260026411405,lower
年购电量,21240.696897813345,1665.562603851666,19575.134293961677,92.15862543557536,lower
