指标,R3基准,R4优化,改善量,改善率/%,优选方向
年可变运行成本,25.48672472407665,25.654824223497123,-0.16809949942047098,-0.6595570880148115,lower
年私人成本总额,189.00375178550442,189.17185128492488,-0.16809949942046387,-0.0889397685667297,lower
年社会综合成本,192.6279525086243,192.68732598635123,-0.05937347772692192,-0.030822877445195115,lower
年碳排放,10325.358185526753,10015.597439960951,309.7607455658017,2.9999999999999916,lower
主网最大购电功率,3.3562298957936454,3.223082506074099,0.13314738971954654,3.9671713158392348,lower
主网峰谷差,8.356229895793684,8.2230825060741,0.13314738971958384,1.5933906962828643,lower
主网功率标准差,3.0105236793773305,2.7017623195605966,0.3087613598167338,10.256068136311594,lower
年弃风弃光量,18948.593587950876,18924.573230984563,24.020356966313557,0.126765909326314,lower
弃风弃光率,3.582795327166603,3.57825356409082,0.004541763075783134,0.12676590932630571,lower
新能源本地吸纳率,92.52907626934882,92.53671074545197,0.007634476103149268,0.008250894109139902,higher
新能源外送率,3.8881284034845596,3.8850356904572085,0.003092713027351035,0.0795424612155126,lower
年购电量,3733.8429264499046,1665.562603851666,2068.280322598239,55.39280476816244,lower
