Diagnostic,Value
Maximum electric balance error,2.4868995751603507e-13
Maximum heat balance error,2.362554596402333e-13
Maximum cooling balance error,0.0
Number of capacity upper bounds >=95%,0.0
Strict storage exclusivity enabled,1.0
MILP used,1.0
Carbon cap binding,0.0
Annual export share of renewable available [%],3.8881284034845596
Storage rule-constrained mode,0.0
Grid import-export overlap [MWh/year],-1.149080830487037e-12
Flexible-load in-out overlap [MWh/year],0.0
Renewable export attribution enforced,1.0
Unmet load hard-fixed to zero,0.0
Annual EENS limit enabled,1.0
Critical-load protection enabled,1.0
