Technology,Capacity,Unit,Model key,Upper bound,Upper-bound utilization [%],Upper bound binding
PV,33.36596353666027,MW,C_PV,220.0,15.166347062118302,False
WT,129.18753706767453,MW,C_WT,220.0,58.721607758033876,False
CHP,11.10890423948765,MW,C_CHP,100.0,11.10890423948765,False
Heat pump,58.50690431187105,MW,C_HP,150.0,39.0046028745807,False
Electric chiller,44.69616375476041,MW,C_EC,120.0,37.24680312896701,False
Gas boiler,0.0,MW,C_GB,150.0,0.0,False
Battery energy,55.15811985780312,MWh,C_BAT_E,300.0,18.386039952601042,False
Battery power,17.013579096236,MW,C_BAT_P,120.0,14.177982580196668,False
Thermal storage energy,89.29140599559113,MWh,C_TS_E,300.0,29.76380199853038,False
Thermal storage power,16.81365896947633,MW,C_TS_P,120.0,14.011382474563607,False
