Cost item,Value,Unit
Annualized capital cost,16984688.02369917,EUR/year
Fixed O&M cost,4233335.095075179,EUR/year
Grid purchase cost,493672.01943401515,EUR/year
Grid sale revenue,221309.60916670068,EUR/year
Grid export wheeling cost,176669.29977328912,EUR/year
Grid export capacity cost,30000.0,EUR/year
Gas purchase cost,2023386.462734718,EUR/year
Carbon external cost,553062.2261520624,EUR/year
Demand response cost,0.0,EUR/year
Renewable curtailment cost,510574.27300165984,EUR/year
Unserved-energy cost,0.0,EUR/year
Storage degradation cost,310140.55039857305,EUR/year
Grid demand charge,84444.97567744616,EUR/year
Grid fluctuation cost,52970.201676140954,EUR/year
Device smoothing cost,176429.79740371992,EUR/year
Variable operating annual cost,3636977.9709328613,EUR/year
Private total annual cost,24855001.08970721,EUR/year
Social total annual cost,25408063.315859273,EUR/year
Objective annual cost,25408063.315859273,EUR/year
