Cost item,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Grid purchase cost,0.0,EUR/year
Grid sale revenue,0.0,EUR/year
Grid export wheeling cost,0.0,EUR/year
Grid export capacity cost,0.0,EUR/year
Gas purchase cost,1942.6560634788318,EUR/year
Carbon external cost,426.436696861207,EUR/year
Demand response cost,542.2057547608249,EUR/year
Renewable curtailment cost,2769.4058332422924,EUR/year
Unserved-energy cost,0.0,EUR/year
Storage degradation cost,667.5498153762485,EUR/year
Grid demand charge,0.0,EUR/year
Grid fluctuation cost,0.0,EUR/year
Device smoothing cost,769.648558453298,EUR/year
Variable operating annual cost,6691.466025311495,EUR/year
Private total annual cost,20970412.88415708,EUR/year
Social total annual cost,20970839.32085394,EUR/year
Objective annual cost,20970839.32085394,EUR/year
