Diagnostic,Value
Maximum electric balance error,9.947598300641403e-14
Maximum heat balance error,3.268496584496461e-13
Maximum cooling balance error,0.0
Number of capacity upper bounds >=95%,0.0
Strict storage exclusivity enabled,1.0
MILP used,1.0
Carbon cap binding,0.0
Annual export share of renewable available [%],0.0
Storage rule-constrained mode,0.0
Grid import-export overlap [MWh/year],-8.504606657450808e-15
Flexible-load in-out overlap [MWh/year],0.0
Renewable export attribution enforced,0.0
Unmet load hard-fixed to zero,0.0
Annual EENS limit enabled,0.0
Critical-load protection enabled,1.0
