Technology,Capacity,Unit,Model key,Upper bound,Upper-bound utilization [%],Upper bound binding
PV,33.12572405844851,MW,C_PV,220.0,15.05714729929478,False
WT,128.20992966907443,MW,C_WT,220.0,58.277240758670196,False
CHP,10.346561055703544,MW,C_CHP,100.0,10.346561055703544,False
Heat pump,59.48705983387919,MW,C_HP,150.0,39.65803988925279,False
Electric chiller,44.69616375476041,MW,C_EC,120.0,37.24680312896701,False
Gas boiler,0.0,MW,C_GB,150.0,0.0,False
Battery energy,55.3696208353715,MWh,C_BAT_E,300.0,18.456540278457165,False
Battery power,17.41699545842193,MW,C_BAT_P,120.0,14.514162882018274,False
Thermal storage energy,67.72688656738593,MWh,C_TS_E,300.0,22.575628855795312,False
Thermal storage power,12.22807398023543,MW,C_TS_P,120.0,10.190061650196192,False
